Evento   	Hora	                 DNI 	  Edad	Telefono	Grupo	  Monitor	Nombre	    Apellido1	   Apellido2
Cargar   2014-05-01 14:57:32.139   27460578G   -    ---------      B        SI      ISABEL        GARCIA       FERNANDEZ

Cargar   2014-05-01 14:57:32.14   31619357S   -    ---------      B        SI      MAITANE        GUTIERREZ       ELKORO

Cargar   2014-05-01 14:57:32.142   44031100S   -    ---------      B        NO      ZORIONE        APERRIBAY       AIASTUY

Cargar   2014-05-01 14:57:32.144   51887981G   -    ---------      B        NO      IKER        PLAZAOLA       UNAMUNO

Cargar   2014-05-01 14:57:32.146   72483180Z   -    ---------      B        SI      NAIARA        ELGARRESTA       URZELAI

Cargar   2014-05-01 14:57:32.148   72483181S   -    ---------      B        NO      AINTZANE        IZAGIRRE       LOMBIDE

Borrar   2014-05-01 14:57:48.172   72483180Z                                          

Cargar   2014-04-17 20:22:04.055   09811114G   -    ---------      A        NO      MANEX        SANCHEZ       AGUILAR 

Cargar   2014-04-17 20:22:04.057   16132432W   -    ---------      A        SI      JONE        UGARTE       GOROSTEGI

Cargar   2014-04-17 20:22:04.058   19979598G   -    ---------      A        SI      AMAIA        ETXEBERRIA       ARAMBURU

Cargar   2014-04-17 20:22:04.06   32021201A   -    ---------      A        SI      ANE        ZUBIA       GOENAGA

Cargar   2014-04-17 20:22:04.061   34976778B   -    ---------      A        NO      IORITZ        ZABALETA       BASTIDA

Cargar   2014-04-17 20:22:04.062   46541888P   -    ---------      A        NO      XABIER        MADINABEITIA       URRUTIA

Cargar   2014-04-17 20:22:04.064   52203171W   -    ---------      A        NO      OHIANA        BARRENA       MORENO

Cargar   2014-04-17 20:22:04.065   52352282G   -    ---------      A        NO      MADDI        CASTAÑEDA       ALEGRIA

Cargar   2014-04-17 20:22:04.066   72483186C   -    ---------      A        SI      IKER        MADRIGAL       GOIBURU

Cargar   2014-04-17 20:22:04.068   72483187K   -    ---------      A        NO      JOSUNE        UGARTE       IZAGIRRE

Cargar   2014-04-17 20:22:04.069   76242608T   -    ---------      A        NO      OLATZ        EROSTARBE       PLAZAOLA

Cargar   2015-03-31 23:10:41.084   09811114G   -    ---------      A        NO      MANEX        SANCHEZ       AGUILAR 

Cargar   2015-03-31 23:10:41.084   16132432W   -    ---------      A        NO      JONE        UGARTE       GOROSTIDI

Cargar   2015-03-31 23:10:41.084   19979598G   -    ---------      A        SI      AMAIA        ETXEBERRIA       ARAMBURU

Cargar   2015-03-31 23:10:41.084   32021201A   -    ---------      A        SI      ANE        ZUBIA       GOENAGA

Cargar   2015-03-31 23:10:41.094   46541888P   -    ---------      A        SI      XABIER        ZUBIA       URRUTIA

Cargar   2015-03-31 23:10:41.094   52203171W   -    ---------      A        NO      OHIANA        BARRENA       MORENO

Cargar   2015-03-31 23:10:41.094   52352282G   -    ---------      A        NO      MADDI        CASTAÑEDA       ALEGRIA

Cargar   2015-03-31 23:10:41.094   72483180Z   -    ---------      A        NO      ANABEL        IZAGIRRE       LOMBIDE

Cargar   2015-03-31 23:10:41.094   72483186C   -    ---------      A        SI      IKER        MADRIGAL       GOIBURU

Cargar   2015-03-31 23:10:41.104   72483187K   -    ---------      A        NO      JOSUNE        UGARTE       IZAGIRRE

Cargar   2015-03-31 23:10:41.104   76242608T   -    ---------      A        NO      OLATZ        EROSTARBE       PLAZAOLA

Cargar   2015-03-31 23:12:16.356   09811114G   -    ---------      A        NO      MANEX        SANCHEZ       AGUILAR 

Cargar   2015-03-31 23:12:16.356   16132432W   -    ---------      A        NO      JONE        UGARTE       GOROSTIDI

Cargar   2015-03-31 23:12:16.356   19979598G   -    ---------      A        SI      AMAIA        ETXEBERRIA       ARAMBURU

Cargar   2015-03-31 23:12:16.356   32021201A   -    ---------      A        SI      ANE        ZUBIA       GOENAGA

Cargar   2015-03-31 23:12:16.356   46541888P   -    ---------      A        SI      XABIER        ZUBIA       URRUTIA

Cargar   2015-03-31 23:12:16.356   52203171W   -    ---------      A        NO      OHIANA        BARRENA       MORENO

Cargar   2015-03-31 23:12:16.366   52352282G   -    ---------      A        NO      MADDI        CASTAÑEDA       ALEGRIA

Cargar   2015-03-31 23:12:16.366   72483180Z   -    ---------      A        NO      ANABEL        IZAGIRRE       LOMBIDE

Cargar   2015-03-31 23:12:16.366   72483186C   -    ---------      A        SI      IKER        MADRIGAL       GOIBURU

Cargar   2015-03-31 23:12:16.366   72483187K   -    ---------      A        NO      JOSUNE        UGARTE       IZAGIRRE

Cargar   2015-03-31 23:12:16.366   76242608T   -    ---------      A        NO      OLATZ        EROSTARBE       PLAZAOLA

Cargar   2015-03-31 23:15:00.626   09811114G   -    ---------      A        NO      MANEX        SANCHEZ       AGUILAR 

Cargar   2015-03-31 23:15:00.626   16132432W   -    ---------      A        NO      JONE        UGARTE       GOROSTIDI

Cargar   2015-03-31 23:15:00.626   19979598G   -    ---------      A        SI      AMAIA        ETXEBERRIA       ARAMBURU

Cargar   2015-03-31 23:15:00.626   32021201A   -    ---------      A        SI      ANE        ZUBIA       GOENAGA

Cargar   2015-03-31 23:15:00.626   46541888P   -    ---------      A        SI      XABIER        ZUBIA       URRUTIA

Cargar   2015-03-31 23:15:00.626   52203171W   -    ---------      A        NO      OHIANA        BARRENA       MORENO

Cargar   2015-03-31 23:15:00.636   52352282G   -    ---------      A        NO      MADDI        CASTAÑEDA       ALEGRIA

Cargar   2015-03-31 23:15:00.636   72483180Z   -    ---------      A        NO      ANABEL        IZAGIRRE       LOMBIDE

Cargar   2015-03-31 23:15:00.636   72483186C   -    ---------      A        SI      IKER        MADRIGAL       GOIBURU

Cargar   2015-03-31 23:15:00.636   72483187K   -    ---------      A        NO      JOSUNE        UGARTE       IZAGIRRE

Cargar   2015-03-31 23:15:00.636   76242608T   -    ---------      A        NO      OLATZ        EROSTARBE       PLAZAOLA

